,iter,total_loss,loss_b,loss_v
0,0,43.731529235839844,1.0809754133224487,42.65055465698242
1,10,43.513973236083984,0.8785609006881714,42.635414123535156
2,20,43.25969696044922,0.5865210294723511,42.67317581176758
3,30,42.924564361572266,0.21041938662528992,42.71414566040039
4,40,41.71513366699219,0.016702840104699135,41.698429107666016
5,50,36.577659606933594,0.07584265619516373,36.50181579589844
6,60,19.99176025390625,0.2821689248085022,19.709590911865234
7,70,12.174736976623535,0.027378978207707405,12.147357940673828
8,80,8.25278377532959,0.12750108540058136,8.125282287597656
9,90,7.254262924194336,0.23240473866462708,7.021858215332031
10,100,6.661242961883545,0.1929055154323578,6.468337535858154
11,110,6.21010160446167,0.10089395940303802,6.109207630157471
12,120,5.945674419403076,0.06042502075433731,5.885249614715576
13,130,5.712130069732666,0.034354809671640396,5.6777753829956055
14,140,5.525504112243652,0.013958542607724667,5.511545658111572
15,150,5.353236675262451,0.0012850796338170767,5.351951599121094
16,160,5.1891350746154785,0.003514437237754464,5.1856207847595215
17,170,5.0179338455200195,0.014291588217020035,5.0036420822143555
18,180,4.82425594329834,0.02804560959339142,4.796210289001465
19,190,4.606161594390869,0.039189692586660385,4.566971778869629
20,200,4.396225452423096,0.04642435163259506,4.349801063537598
21,210,4.234620094299316,0.0560096874833107,4.178610324859619
22,220,4.121134281158447,0.07321425527334213,4.047920227050781
23,230,4.037514686584473,0.09580913186073303,3.9417054653167725
24,240,3.97306489944458,0.117301806807518,3.8557631969451904
25,250,3.9148151874542236,0.13161572813987732,3.7831995487213135
26,260,3.8484082221984863,0.13786675035953522,3.7105414867401123
27,270,3.7654716968536377,0.1396128535270691,3.625858783721924
28,280,3.653984785079956,0.14084477722644806,3.5131399631500244
29,290,3.4849979877471924,0.14325514435768127,3.341742753982544
30,300,3.18867564201355,0.1463738977909088,3.042301654815674
31,310,2.605398178100586,0.14380288124084473,2.461595296859741
32,320,1.6405150890350342,0.11596818268299103,1.5245468616485596
33,330,1.3334006071090698,0.05595853924751282,1.2774420976638794
34,340,1.0245604515075684,0.013766306452453136,1.0107941627502441
35,350,0.8795976042747498,0.0011757226893678308,0.8784219026565552
36,360,0.752196729183197,0.0004575657076202333,0.7517391443252563
37,370,0.6477501392364502,0.002048657275736332,0.6457014679908752
38,380,0.5688247084617615,0.003870820626616478,0.5649538636207581
39,390,0.5095279216766357,0.0047727483324706554,0.5047551989555359
40,400,0.46475446224212646,0.006660603452473879,0.4580938518047333
41,410,0.43111225962638855,0.008072900585830212,0.42303934693336487
42,420,0.4061627686023712,0.009681294672191143,0.3964814841747284
43,430,0.43282875418663025,0.01129639707505703,0.42153236269950867
44,440,0.37492188811302185,0.012447820976376534,0.3624740540981293
45,450,0.3679138422012329,0.013465601950883865,0.35444822907447815
46,460,0.36026063561439514,0.014376955106854439,0.34588366746902466
47,470,0.35310181975364685,0.0152088962495327,0.33789291977882385
48,480,0.34927573800086975,0.015916313976049423,0.33335942029953003
49,490,0.3459627330303192,0.016504544764757156,0.32945817708969116
50,500,0.34356552362442017,0.016994642093777657,0.32657086849212646
51,510,0.34170985221862793,0.017408890649676323,0.32430097460746765
52,520,0.34022560715675354,0.01775653287768364,0.3224690854549408
53,530,0.33899885416030884,0.018047286197543144,0.32095158100128174
54,540,0.3379601836204529,0.01828809082508087,0.3196721076965332
55,550,0.33704763650894165,0.018485967069864273,0.3185616731643677
56,560,0.3362199664115906,0.018647950142621994,0.3175720274448395
57,570,0.3354482054710388,0.018779385834932327,0.3166688084602356
58,580,0.33471861481666565,0.01888563483953476,0.3158329725265503
59,590,0.33597293496131897,0.018971018493175507,0.31700190901756287
60,600,0.3351702094078064,0.01915733516216278,0.3160128891468048
61,610,0.33507823944091797,0.018981799483299255,0.3160964548587799
62,620,0.33480381965637207,0.019079040735960007,0.31572479009628296
63,630,0.33229243755340576,0.01910260133445263,0.313189834356308
64,640,0.3308480381965637,0.01917235367000103,0.31167569756507874
65,650,0.329999715089798,0.01917688176035881,0.31082284450531006
66,660,0.32926201820373535,0.01919006183743477,0.3100719451904297
67,670,0.3285190463066101,0.019189435988664627,0.3093295991420746
68,680,0.32776597142219543,0.019192682579159737,0.30857327580451965
69,690,0.32702282071113586,0.019188929349184036,0.30783388018608093
70,700,0.32625967264175415,0.019179871305823326,0.3070797920227051
71,710,0.3254852294921875,0.019166190177202225,0.3063190281391144
72,720,0.3246963918209076,0.0191485658288002,0.305547833442688
73,730,0.3238930106163025,0.019128914922475815,0.3047640919685364
74,740,0.32307520508766174,0.019106842577457428,0.3039683699607849
75,750,0.3222469985485077,0.019082240760326385,0.3031647503376007
76,760,0.32217854261398315,0.019055094569921494,0.30312344431877136
77,770,0.347644567489624,0.01906413584947586,0.32858043909072876
78,780,0.3296697735786438,0.018755875527858734,0.31091389060020447
79,790,0.32002362608909607,0.018914278596639633,0.30110934376716614
80,800,0.3180392384529114,0.018943026661872864,0.2990961968898773
81,810,0.31724271178245544,0.018968231976032257,0.2982744872570038
82,820,0.3163062036037445,0.018888341262936592,0.29741784930229187
83,830,0.3153585195541382,0.018835049122571945,0.29652348160743713
84,840,0.31443849205970764,0.018790850415825844,0.29564765095710754
85,850,0.3135038912296295,0.018758244812488556,0.29474565386772156
86,860,0.31253817677497864,0.01872170716524124,0.293816477060318
87,870,0.31157052516937256,0.01867595687508583,0.292894572019577
88,880,0.3105856776237488,0.018630051985383034,0.2919556200504303
89,890,0.30958765745162964,0.018582647666335106,0.29100501537323
90,900,0.3085758686065674,0.018535472452640533,0.29004040360450745
